id,title,description,link,image link,price,availability
product_d059d24f-4eed-783f-0b63-489bbf18c5c4,Coconut Extra Large Honeycomb Melts (x3),"<p>Our honeycomb wax melts come in sets of three.&nbsp;</p><p>&nbsp;</p><p>Each melt can be reused until its scent fades.&nbsp; Keep remaining melts in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality&nbsp;wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_9a3c4a24bddd42679d8d2c3f01b398bd~mv2.png;1ec8bd_c026bc86116d4981b8c8b1177aab710c~mv2.jpg,2.5,TRUE
product_ee5f4d67-1db9-4e5d-282b-d24d8952837f,Amber & Sweet Orange Extra Large Honeycomb Melts (x3),"<p>Our honeycomb wax melts come in sets of three.&nbsp;</p><p>&nbsp;</p><p>Each melt can be reused until its scent fades.&nbsp; Keep remaining melts in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality&nbsp;wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_9a3c4a24bddd42679d8d2c3f01b398bd~mv2.png;1ec8bd_c026bc86116d4981b8c8b1177aab710c~mv2.jpg,2.5,TRUE
product_3ed61c9b-f4e5-0b13-4520-d19122302b8e,Lemongrass three wick hand poured candle,"<p>Presented in a large glass candle bowl our three wick candle is a showstopper. Available in all of our fragrances and, as with all of our range, 100% vegan and cruelty free. Please note these candles are made to order and therefore should be left to fully cure for 1-2 weeks following delivery to ensure longevity and proper scent throw. Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.Approximate candle content 500g.</p>",,1ec8bd_2f7008e7e8514620b649e36ba5637d85~mv2.jpg,16.9,TRUE
product_b89ee251-a4f1-577b-b8bb-2f8fd7182d0f,Coconut three wick hand poured candle,"<p>Presented in a large glass candle bowl our three wick candle is a showstopper. Available in all of our fragrances and, as with all of our range, 100% vegan and cruelty free. Please note these candles are made to order and therefore should be left to fully cure for 1-2 weeks following delivery to ensure longevity and proper scent throw. Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.Approximate candle content 500g.</p>",,1ec8bd_2f7008e7e8514620b649e36ba5637d85~mv2.jpg,16.9,TRUE
product_32a70552-15b5-9423-f11b-9ab7cf199847,Amber & Orange three wick hand poured candle,"<p>Presented in a large glass candle bowl our three wick candle is a showstopper. Available in all of our fragrances and, as with all of our range, 100% vegan and cruelty free. Please note these candles are made to order and therefore should be left to fully cure for 1-2 weeks following delivery to ensure longevity and proper scent throw. Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.Approximate candle content 500g.</p>",,1ec8bd_2f7008e7e8514620b649e36ba5637d85~mv2.jpg,16.9,TRUE
product_59d5201e-845b-698c-0cc8-8df83b05550e,Lemongrass Reed Diffuser,<p>Each diffuser comes with seven reeds and should last between 3-4 months depending on the temperature of your home and the regularity with which you turn your reeds.&nbsp; Liquid content approximately 100g.</p>,,1ec8bd_e3a1c8c50659418982a102758ce900da~mv2.png,12.83,TRUE
product_e83d9070-a695-6be3-9615-c7ff00c5c4b5,Coconut Reed Diffuser,<p>Each diffuser comes with seven reeds and should last between 3-4 months depending on the temperature of your home and the regularity with which you turn your reeds.&nbsp; Liquid content approximately 100g.</p>,,1ec8bd_2f7008e7e8514620b649e36ba5637d85~mv2.jpg,12.83,TRUE
product_7892c609-e058-f491-9371-bc415a359825,Amber & Sweet Orange Reed Diffuser,<p>Each diffuser comes with seven reeds and should last between 3-4 months depending on the temperature of your home and the regularity with which you turn your reeds.&nbsp; Liquid content approximately 100g.</p>,,1ec8bd_2f7008e7e8514620b649e36ba5637d85~mv2.jpg,12.83,TRUE
product_26353f78-9c9b-1a54-fbd6-96302d2e1b25,Lemongrass hand poured wax melts (x5),"<p>Each melt can be reused until its scent fades.&nbsp; Keep remaining melts in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality&nbsp;wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_dfd3c5f3135b4805b802eb319c4ae23f~mv2.jpeg,1.5,TRUE
product_b9f799cc-24fd-281a-cbc0-6407723ae645,Coconut hand poured wax melts (x5),"<p>Each melt can be reused until its scent fades.&nbsp; Keep remaining melts in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality&nbsp;wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_dfd3c5f3135b4805b802eb319c4ae23f~mv2.jpeg,1.5,TRUE
product_5703d6f2-aad3-f413-f5f8-56412fd994f2,Amber & Sweet Orange hand poured wax melts (x5),"<p>Each melt can be reused until its scent fades.&nbsp; Keep remaining melts in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality&nbsp;wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_dfd3c5f3135b4805b802eb319c4ae23f~mv2.jpeg,1.5,TRUE
product_1e0e11c0-9e9d-ef37-5706-5414b9aa091f,Lemongrass hand poured snap bar (x1),"<p>Each section of your snap bar can be reused until its scent fades.&nbsp; Keep remaining sections of snap bar in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_a9d81ff7b3844c34955784edd634a598~mv2.jpeg,1.5,TRUE
product_f2e8a736-66af-efc5-fa01-62909d559bf8,Amber & Sweet Orange hand poured snap bar (x1),"<p>Each section of your snap bar can be reused until its scent fades.&nbsp; Keep remaining sections of snap bar in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_a9d81ff7b3844c34955784edd634a598~mv2.jpeg,1.5,TRUE
product_9dd20663-20dd-95f8-e918-d737fd89781e,Coconut hand poured snap bar (x1),"<p>Each section of your snap bar can be reused until its scent fades.&nbsp; Keep remaining sections of snap bar in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_a9d81ff7b3844c34955784edd634a598~mv2.jpeg,1.5,TRUE
product_875369ea-bdae-3cd8-e17a-128e36a8d8d6,Lemongrass hand poured tinned candle,"<p>Comes in its own silver tin with lid to keep your candle at its best for longer and protect it from dust. Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.Approximate candle content 200g</p>",,1ec8bd_00b6d20ec27644798e89bc7dcb2894bd~mv2.png,7.0,TRUE
product_55880929-a610-1eee-06f7-a8165b2c92ed,Coconut hand poured tinned candle,"<p>Comes in its own silver tin with lid to keep your candle at its best for longer and protect it from dust. Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.Approximate candle content 200g</p>",,1ec8bd_52fa4652249f409fb18e0753301306bb~mv2.png,7.0,TRUE
product_64f0d8bb-03dd-d6e3-aa7b-f77c96cbacc3,Amber & Sweet Orange hand poured tinned candle,"<p>Comes in its own silver tin with lid to keep your candle at its best for longer and protect it from dust. Our entire range is vegan, cruelty free and made with the finest quality wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.Approximate candle content 200g</p>",,1ec8bd_5a15f2a335b643d2a51196be61392516~mv2.png,7.0,TRUE
product_a167b3ce-30e2-d8df-d2ea-2aa8d405f147,Lemongrass hand poured lidded candle,Hand poured candle in a glass jar with stylish wooden lid to protect from dust.Approximate candle content 300g.,https://www.beehappyorders.com/product-page/lemongrass-hand-poured-lidded-candle,1ec8bd_9865ef8de81644bfbfddcb95df934dee~mv2.png,11.6,TRUE
product_cdd27b9d-e501-b431-d0ef-54cca911d3da,Coconut hand poured lidded candle,Hand poured candle in a glass jar with stylish wooden lid to protect from dust.Approximate candle content 300g.,https://www.beehappyorders.com/product-page/coconut-hand-poured-lidded-candle,1ec8bd_4ee389d818964561a794cc6979ac6853~mv2.jpg,11.6,TRUE
product_61bcccaa-674e-d075-b13c-733435782dd1,Amber & Sweet Orange hand poured lidded candle,Hand poured candle in a glass jar with stylish wooden lid to protect from dust.Approximate candle content 300g.,https://www.beehappyorders.com/product-page/amber-sweet-orange-hand-poured-lidded-candle,1ec8bd_2f7008e7e8514620b649e36ba5637d85~mv2.jpg,11.6,TRUE
product_6c91abeb-1f93-2e6f-e75c-6cd1e6c5fc00,Replacement reeds (x7),Seven replacement fibre reeds in grey. We recommend reeds are changed every 6-12 months and for each new fragrance.,,1ec8bd_5f5aa60ff1b94463af8b8e1878c401d8~mv2.jpg,2.7,TRUE
product_a0d0c412-c8c3-b26a-9d99-56d7088798b3,Reed Diffuser Refill,"A more wallet and eco friendly way to refill your Bee Happy diffuser is here! 

Available in all of our fragrances, these 100% recyclable bottles (glass bottle/aluminium lid) contain approximately 100g of diffuser refill (the same amount as in our complete reed diffusers). These can also be used as stand alone diffusers depending on the look you want to achieve. 

Reeds are available for purchase separately.  We recommend reeds are changed every 6-12 months to maintain good fragrance throw.",,1ec8bd_61aac32d776c49f4928cb8d6b5d052fa~mv2.jpg,9.3,TRUE
product_6a6fac96-0bee-4b9b-99f1-03854ac9621a,Mystery Box £50,"Want a lovely surprise for yourself or someone else? 

Our mystery boxes have got you covered. Each box will contain hand picked luxury items with a retail value of £50 or more. Some items may be exclusively available in mystery boxes. Items may come from any of our product ranges and fragrances. 

Please add a note to your order if there is a type of product or a specific fragrances you do not wish to receive.",https://www.beehappyorders.com/product-page/mystery-box-50,1ec8bd_1224de49271e42948e13d812f81ee263~mv2.jpg,50.0,TRUE
product_b6394fa3-e193-1179-e2cb-027447ec2366,Mystery Box £25,"Want a lovely surprise for yourself or someone else? 

Our mystery boxes have got you covered. Each box will contain hand picked luxury items with a retail value of £25 or more. Some items may be exclusively available in mystery boxes. Items may come from any of our product ranges and fragrances. 

Please add a note to your order if there is a type of product or a specific fragrances you do not wish to receive.",https://www.beehappyorders.com/product-page/mystery-box,1ec8bd_1224de49271e42948e13d812f81ee263~mv2.jpg,25.0,TRUE
product_9c561b17-b120-cc35-9438-08f7d0f87b2f,Fig & Cassis hand poured lidded candle,"Hand poured candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/fig-cassis-300ml-lidded-candle,1ec8bd_1d2a60458d9747669673dea030fad7a6~mv2.png,11.6,TRUE
product_32e03332-6427-19af-5009-3c803e1f3f88,Seashell Candle Duo,"Bring a bit of the seaside home with our seashell candle duo.   Made from the highest quality vegan and cruelty free biodegradable wax, and using a cotton core wick, you can enjoy our treats with a clear conscience.
 
Available in white, pink, grey, lilac and blue (please add a note to your order specifying colour)",,1ec8bd_5c6e09189b3441759a55dabeb6bab4e3~mv2.png,6.0,TRUE
product_b83b6227-0da7-c17b-0477-fe08c479bb95,Zen Melt Warmer,"<p>Add some zen to your home fragrance regime with our lovely melt warmer.&nbsp; Add a lit tea light to the base of the warmer, place your chosen melt or snap bar section to the bowl of the warmer and wait for the scent to fill the room.</p><p>&nbsp;</p><p>Always follow safety labels and care instructions provided.</p>",https://www.beehappyorders.com/product-page/zen-melt-warmer,1ec8bd_e90f79a2e37441babfa37c681d69d414~mv2.jpeg,7.99,TRUE
product_a70ddcb7-5805-68b1-64a0-053af11a03a0,'Yorick' Melt Warmer - Black,"<p>Add a little drama to your home fragrance regime with our 'Yorick' melt warmer.&nbsp; Also available in white.&nbsp;Just pop a lit tea light into the base of the warmer, add your chosen melt or section of snap bar to the bowl and wait for the scent to fill the room.</p><p>&nbsp;</p><p>Always follow wax melt care instructions.</p>",https://www.beehappyorders.com/product-page/yorick-melt-warmer-black,1ec8bd_fd4337cdf7a34d6ebced2694756718c8~mv2.jpeg,9.98,TRUE
product_2a33aaee-d9f0-5ac2-d44e-a1b106a82839,'Yorick' Melt Warmer - White,"<p>Add a little drama to your home fragrance regime with our 'Yorick' melt warmer.&nbsp; Also available in black.&nbsp;Just pop a lit tea light into the base of the warmer, add your chosen melt or section of snap bar to the bowl and wait for the scent to fill the room.</p><p>&nbsp;</p><p>Always follow wax melt care instructions.</p>",https://www.beehappyorders.com/product-page/yorick-melt-warmer-white,1ec8bd_71732ae527244aee86484066128e849a~mv2.jpeg,9.98,TRUE
product_0f444a2d-e1fb-5c9c-ba7d-5363382e7453,Kettle Melt Warmer - White,"<p>Add some cuteness to your home fragrance regime with our cute little kettle warmer.&nbsp; Also available in sage.</p><p>&nbsp;</p><p>Just place a lit tea light into the warmer, add your chosen wax melt or snap bar section to the bowl and wait for the scent to fill the room.</p><p>&nbsp;</p><p>Always follow wax melt care instructions.</p>",https://www.beehappyorders.com/product-page/kettle-melt-warmer-white,1ec8bd_9cfee96cd22a4062b06603ad0e570076~mv2.jpeg,7.8,TRUE
product_e07afd2b-2253-a768-626f-8c28e88c1e5b,Kettle Melt Warmer - Sage,"<p>Add a little cuteness to your home fragrance regime with our lovely little kettle melt warmer.&nbsp; Also available in white.</p><p>&nbsp;</p><p>Just put a lit tea light into the warmer, add your chosen melt or section of snap bar and wait for the scent to fill the room.</p><p>&nbsp;</p><p>Always follow wax melt care instructions.</p>",https://www.beehappyorders.com/product-page/kettle-melt-warmer-sage,1ec8bd_794ed4a5f8cb4c29b6ab2b8d1a270145~mv2.jpeg,7.8,TRUE
product_2fe88e65-1ae1-425b-733f-eb9028abfd02,Home Melt Warmer,"<p>Our lovely 'Home' wax melt warmer will fit with all decor schemes, and adds a great touch of decoration with minimal fuss.&nbsp; Just pop a lit tea light into the warmer, add your chosen melt or snap bar section and wait for the scent to fill the room.</p><p>&nbsp;</p><p>Always follow wax melt care instructions.</p>",https://www.beehappyorders.com/product-page/home-melt-warmer,1ec8bd_fb34411aa65a46d49a294bb867f360b9~mv2.jpeg,9.98,TRUE
product_51eb3d27-5416-bbd0-61ce-aece62bb49f9,Sunshine Melt Warmer,"<p>Add some sunny cheer to your home fragrance regime with our sunshine melt warmer.&nbsp; Just pop a lit tea light in the warmer, add your chosen wax melt or snap bar section to the bowl and wait for the scent to fill the room.&nbsp;&nbsp;</p><p>&nbsp;</p><p>Always follow wax melt care instructions.</p>",https://www.beehappyorders.com/product-page/sunshine-melt-warmer,1ec8bd_6bcc6bca270940558466f08acab1e707~mv2.jpeg,9.0,TRUE
product_13cacc2a-19a3-3e53-1719-e314b415c22f,Vanilla hand poured lidded candle ,"Hand poured soy wax candle in a glass jar, with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/vanilla-lidded-candle-300ml,1ec8bd_22d930bc321741cdb717d307b86e6d09~mv2.png,11.6,TRUE
product_749b09d6-bdba-d6bd-a1ac-7f3070049434,Sage & Sea Salt hand poured lidded candle ,"Hand poured soy wax candle in a glass jar, with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/sage-sea-salt-lidded-candle-300ml,1ec8bd_635d8df6b40a443ba39f8fe9a19bcf6a~mv2.png,11.6,TRUE
product_4f90a446-a5b3-5aca-5451-866f566ac616,Pomegranate Dusk hand poured lidded candle,"Hand poured soy wax candle in glass jar, with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/pomegranate-dusk-lidded-candle-300ml,1ec8bd_dcbaf39418d2432097309bf0fcb8cb15~mv2.png,11.6,TRUE
product_47bf9c12-9317-5800-7e78-9a271a1f783e,"Lime, Basil & Mandarin hand poured lidded candle ","Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/lime-basil-mandarin-lidded-candle-300ml,1ec8bd_4789736b3f6840e1a98743091c02f14e~mv2.png,11.6,TRUE
product_964fb1d0-587c-ca32-f58f-64c18a1a70c7,Lavender & Chamomile hand poured lidded candle,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/lavender-chamomile-lidded-candle-300ml,1ec8bd_dca711ebed0846fe82222753dbbaa472~mv2.png,11.6,TRUE
product_bf78df4c-4b19-4a83-5c83-0c91dc18b20f,Fresh Linen hand poured lidded candle,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/fresh-linen-lidded-candle-300ml,1ec8bd_7c978f04840349a7934d8031f7f0c337~mv2.png,11.6,TRUE
product_f9dabb2b-606b-e232-bb51-b92d0dc4d1bb,Chocolate Orange hand poured lidded candle,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/chocolate-orange-lidded-candle-300ml,1ec8bd_0d18bf4c5a224093a24550c00d3631bf~mv2.png,11.6,TRUE
product_d479615b-9288-93e4-1295-d8d27bfcd202,Blackberry & Bay hand poured lidded candle ,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/blackberry-bay-lidded-candle-300ml,1ec8bd_f7ba8094297a41dbbbe94651cf0bb350~mv2.png,11.6,TRUE
product_d147fd7a-2615-6dd5-ab54-7c7f3ccf62c6,Baby Powder hand poured lidded candle ,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/baby-powder-300ml-lidded-candle,1ec8bd_ef943577ea384eaaaeb0f24abc1f1bb5~mv2.png,11.6,TRUE
product_6cbce5ca-59f9-d0a4-ff41-29f2a34352fe,Amber Noir hand poured lidded candle,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/amber-noir-300ml-lidded-candle,1ec8bd_3b36fbac5e4946dfb75d0581f2540dc6~mv2.png,11.6,TRUE
product_fc901657-c680-36b3-c03f-7f0b85a14ed3,Pear & Freesia hand poured lidded candle,"Hand poured soy wax candle in a glass jar with stylish wooden lid to protect from dust.

Approximate candle content 300g.",https://www.beehappyorders.com/product-page/pear-freesia-300ml-lidded-candle,1ec8bd_245c10bc65914e0e8bc6c62fcd076069~mv2.png,11.6,TRUE
product_962a8e73-dbb9-b5ad-d721-0f8003ea3ef2,Owl Candle,"Put some quirkyness into your home decor with our owl candle.

Available in a variety of colours. Please select your chosen colour below.

We use only the highest quality wax which is biodegradable, vegan and cruelty free.",,1ec8bd_e461bd50543b41f49e352e2f8770762a~mv2.png,2.0,TRUE
